all: b'\x00\x00\x00'
...BCS says: c1e98f
....BCS says: 5200005ffffffe
....BCS says: 5200015ffffffe
..........Volts: 307.8	Amps: -17.5	Watts: -5386
.........Volts: 308.0	Amps: -17.5	Watts: -5390
...........Volts: 308.0	Amps: -17.5	Watts: -5390
..........Volts: 307.9	Amps: -17.5	Watts: -5388
..........Volts: 307.9	Amps: -17.5	Watts: -5388
..........Volts: 308.3	Amps: -17.5	Watts: -5395
.........Volts: 308.3	Amps: -17.5	Watts: -5395
..........Volts: 307.9	Amps: -17.5	Watts: -5388
..........Volts: 308.4	Amps: -17.5	Watts: -5397
...........Volts: 308.1	Amps: -17.5	Watts: -5391
..........Volts: 308.3	Amps: -17.5	Watts: -5395
..........Volts: 308.3	Amps: -17.5	Watts: -5395
..........Volts: 308.4	Amps: -17.5	Watts: -5397
..........Volts: 308.0	Amps: -17.5	Watts: -5390
..........Volts: 308.2	Amps: -17.5	Watts: -5393
.........Volts: 308.6	Amps: -17.5	Watts: -5400
..........Volts: 308.3	Amps: -17.5	Watts: -5395
..........Volts: 308.3	Amps: -17.5	Watts: -5395
..........Volts: 308.2	Amps: -17.5	Watts: -5393
..........Volts: 308.5	Amps: -17.5	Watts: -5398
..........Volts: 308.4	Amps: -17.5	Watts: -5397
..........Volts: 308.5	Amps: -17.5	Watts: -5398
..........Volts: 308.4	Amps: -17.5	Watts: -5397
..........Volts: 308.5	Amps: -17.5	Watts: -5398
..........Volts: 308.3	Amps: -17.5	Watts: -5395
..........Volts: 308.4	Amps: -17.5	Watts: -5397
.........Volts: 308.6	Amps: -17.5	Watts: -5400
..........Volts: 308.6	Amps: -17.5	Watts: -5400
..........Volts: 308.5	Amps: -17.5	Watts: -5398
..........Volts: 308.5	Amps: -17.5	Watts: -5398
..........Volts: 308.7	Amps: -17.5	Watts: -5402
..........Volts: 308.2	Amps: -17.5	Watts: -5393
..........Volts: 308.8	Amps: -17.5	Watts: -5404
..........Volts: 308.5	Amps: -17.5	Watts: -5398
..........Volts: 308.4	Amps: -17.5	Watts: -5397
..........Volts: 308.6	Amps: -17.6	Watts: -5431
.........Volts: 309.1	Amps: -17.5	Watts: -5409
..........Volts: 308.6	Amps: -17.5	Watts: -5400
.........Volts: 308.8	Amps: -17.5	Watts: -5404
..........Volts: 308.4	Amps: -17.5	Watts: -5397
.........Volts: 308.8	Amps: -17.5	Watts: -5404
..........Volts: 308.8	Amps: -17.5	Watts: -5404
..........Volts: 309.0	Amps: -17.5	Watts: -5407
...........Volts: 309.3	Amps: -17.5	Watts: -5412
..........Volts: 308.8	Amps: -17.5	Watts: -5404
..........Volts: 309.3	Amps: -17.5	Watts: -5412
..........Volts: 309.2	Amps: -17.5	Watts: -5411
..........Volts: 308.7	Amps: -17.5	Watts: -5402
..........Volts: 309.3	Amps: -17.5	Watts: -5412
...........Volts: 309.0	Amps: -17.5	Watts: -5407
..........Volts: 308.9	Amps: -17.5	Watts: -5405
..........Volts: 308.8	Amps: -17.5	Watts: -5404
..........Volts: 308.9	Amps: -17.5	Watts: -5405
..........Volts: 308.7	Amps: -17.5	Watts: -5402
..........Volts: 308.8	Amps: -17.5	Watts: -5404
..........Volts: 308.8	Amps: -17.5	Watts: -5404
..........Volts: 308.8	Amps: -17.5	Watts: -5404
..........Volts: 309.6	Amps: -17.5	Watts: -5418
..........Volts: 309.2	Amps: -17.6	Watts: -5441
..........Volts: 309.1	Amps: -17.5	Watts: -5409
..........Volts: 309.1	Amps: -17.5	Watts: -5409
..........Volts: 309.1	Amps: -17.6	Watts: -5440
..........Volts: 309.0	Amps: -17.6	Watts: -5438
............Volts: 309.4	Amps: -17.6	Watts: -5445
..........Volts: 309.1	Amps: -17.5	Watts: -5409
..........Volts: 309.3	Amps: -17.6	Watts: -5443
.........Volts: 308.9	Amps: -17.6	Watts: -5436
..........Volts: 309.3	Amps: -17.6	Watts: -5443
..........Volts: 309.8	Amps: -17.5	Watts: -5421
..........Volts: 309.1	Amps: -17.6	Watts: -5440
..........Volts: 309.5	Amps: -17.6	Watts: -5447
...........Volts: 309.7	Amps: -17.6	Watts: -5450
.........Volts: 309.4	Amps: -17.5	Watts: -5414
..........Volts: 309.9	Amps: -17.5	Watts: -5423
..........Volts: 309.4	Amps: -17.5	Watts: -5414
.........Volts: 309.6	Amps: -17.6	Watts: -5448
..........Volts: 309.8	Amps: -17.6	Watts: -5452
..........Volts: 309.3	Amps: -17.5	Watts: -5412
..........Volts: 309.4	Amps: -17.6	Watts: -5445
..........Volts: 309.2	Amps: -17.5	Watts: -5411
.........Volts: 309.5	Amps: -17.5	Watts: -5416
..........Volts: 309.4	Amps: -17.5	Watts: -5414
..........Volts: 309.7	Amps: -17.5	Watts: -5419
..........Volts: 309.7	Amps: -17.5	Watts: -5419
..........Volts: 309.5	Amps: -17.5	Watts: -5416
..........Volts: 309.1	Amps: -17.5	Watts: -5409
..........Volts: 309.8	Amps: -17.5	Watts: -5421
..........Volts: 309.3	Amps: -17.5	Watts: -5412
..........Volts: 309.3	Amps: -17.6	Watts: -5443
...........Volts: 309.7	Amps: -17.5	Watts: -5419
...........Volts: 309.4	Amps: -17.6	Watts: -5445
..........Volts: 309.4	Amps: -17.6	Watts: -5445
...........Volts: 309.6	Amps: -17.6	Watts: -5448
..........Volts: 309.5	Amps: -17.5	Watts: -5416
..........Volts: 309.7	Amps: -17.5	Watts: -5419
..........Volts: 309.9	Amps: -17.5	Watts: -5423
